index,k_shot,caption,true_smiles,pred_smiles,raw_text
0,10,This molecule has two pyridine cores linked by a diacetylene chain.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,C(CCCCS)CCCCS,::::::::: the SMILES representation. Input: This molecule is diethynylbenzene. Output: C(CCCCS)CCCCS::=::::::=CC=CC=CC=CC(=C43)C=CC=CC=CC:: the SMILES representation. Input: the
1,10,This molecule uses a diacetylene chain to link two pyridine rings.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,SExample2,":::::::::. Input: Sulfhydryl anchor group. Output: S Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input: Sulfhydryl anchor group. Output: S::::::::::::::::ring. Output:ring"
2,10,This molecule connects two pyridine rings via a diacetylene chain.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,C=C1)C2=CC=NC=C2C3=CC=NC=C3C4=CC=NC=C4C5=CC=NC=C5,:::::::::C=C1)C2=CC=NC=C2C3=CC=NC=C3C4=CC=NC=C4C5=CC=NC=C5 Example 6: Instruction::===::::: C==C=C:=::=O))SC2=CC=C(=
3,10,This molecule consists of a diphenylacetylene backbone with carboxyl groups attached to each benzene ring.,C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,CC(=O)SC1=CC=C(C=C1)C#CC2=CC=C==,":::=: the caption of a molecule, predict the SMILES representation. the caption of a molecule, predict the SMILES representation.:::::: the:::::: CC(=O)SC1=CC=C(C=C1)C#CC2=CC=C==::::: Given the caption of:"
4,10,This molecule features a diphenylacetylene backbone featuring carboxyl groups bonded to both benzene rings.,C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,=CC=CC(N)=N1,":::::::::=CC=CC(N)=N1 Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input rule: Output only one SMILES string. Example 3: Instruction::===::::::::::::CC=CC(N)=N1CC="
5,10,"This molecule contains a diphenylacetylene framework, where carboxyl groups are positioned on the two benzene rings linked by an ethynyl group, and both groups function as anchor groups.",C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,==CC=CC=NC=C=CC=NC=C=CC,::::::::: representation. Input: This molecule is composed of two pyridine rings linked by carbon-carbon triple bond. The nitrogen atoms of the pyridine rings serve as anchor groups. Output:==CC=CC=NC=C=CC=NC=C=CC::=====:::: representation. Input representation
6,10,"This molecule has an anthracene core with sulfhydryl groups  attached, acting as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,=CC(=C2)C#N,":::::::::=CC(=C2)C#N Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input: This molecule is pyrene.:==C=C::::=CC(=C2)C#N::::=CC=C::=CC=CC="
7,10,"This molecule features an anthracene framework where sulfhydryl groups bond to symmetric sites, serving as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,C1=CN=CC=C1C2=CC=NC=C2Example3,":::::::::  : This molecule has a bicyclic structure consisting of two pyridine rings connected by a single carbon-carbon triple bond. Output: C1=CN=CC=C1C2=CC=NC=C2 Example 3: Instruction: Given the caption of a molecule, predict the SMILES representation. In::::::::"
8,10,"This molecule uses an anthracene skeleton with sulfhydryl groups connecting to symmetric positions, functioning as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,=C1N=NC2=CC=C(C=C2)S)S,":::::::=C1N=NC2=CC=C(C=C2)S)S::===C::::::1N=NC2=CC=C(C=C2)S)S Example 6: Instruction: Given the caption of a molecule, predict the SMILES representation.:::::1)S1)("
9,10,"This molecule contains a Biphenyl structure consisting of two benzene rings, each with an amino group attached as anchor group.",NC1=CC=C(C2=CC=C(N)C=C2)C=C1,C1=CC=C2C=CC=CC2=C1Example2,":::::::::ene core structure. Output: C1=CC=C2C=CC=CC2=C1 Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input::====:::::::::=CC=C:ene core structure. Output:en"
10,10,"This molecule has a Biphenyl made up of two benzene rings, each containing an amino anchor group.",NC1=CC=C(C2=CC=C(N)C=C2)C=C1,=CC3=C2C=CC(=C3)C(=O)O)C=C1C(=O)O,:::=CC3=C2C=CC(=C3)C(=O)O)C=C1C(=O)O Input rule: Output only one SMILES string.:::::::==CC=CC=::=CC::::::::=CC4=CC(=CC(=C2))=
11,10,"This molecule is composed of a Biphenyl structure with two benzene rings, each containing an amino group.",NC1=CC=C(C2=CC=C(N)C=C2)C=C1,with====,":::::::benzene skeleton with carboxyl groups connecting, and carboxyl groups function as anchor groups. Input rule: Output only one SMILES string.:benzene skeleton with====::::::==CC2=C::=:benzene skeleton with cyano groups connecting.benz"
12,10,"This molecule has a naphthalene core with methylthio groups attached to symmetric positions, acting as anchor groups.",CSC1=CC=C2C=C(SC)C=CC2=C1,C1=CC2=C===C,::::::::: Input: This molecule has a thiophene core structure with methylthio groups serving as anchor groups to access electrodes. Output: C1=CC2=C===C::::=CC=CC=CC=CC=CC=CC=CC: C::==::: Input: In
13,10,"This molecule features a naphthalene framework where methylthio groups bond to symmetric sites of the naphthalene rings, serving as anchor groups.",CSC1=CC=C2C=C(SC)C=CC2=C1,PARSE_FAIL,":::::::::. Output: N Output rule: Output only one SMILES string. Input rule: Infer the correct SMILES representation from the caption. Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation.::#:::::::::::::. Output:."
14,10,"This molecule uses a naphthalene skeleton with methylthio groups connecting to symmetric positions, functioning as anchor groups.",CSC1=CC=C2C=C(SC)C=CC2=C1,=CC2=C(C=C1)N=C3C=C(C=CC3=N2)NC,"::::::::::=CC2=C(C=C1)N=C3C=C(C=CC3=N2)NC Example 1: Instruction: Given the caption of a molecule, predict the SMILES representation.:=::::::=C==C::::C(C=C1)NC Example 6:C"
15,10,"This molecule has a pyridine core with two sulfhydryl groups attached to the 2nd and 6th carbons, acting as anchor groups.",SC1=CC=CC(S)=N1,=CC=C1S)SC2=CC=C(C=C2)SC3=CC=C(C=C3)SC,:::::::=CC=C1S)SC2=CC=C(C=C2)SC3=CC=C(C=C3)SC Output rule: Output only one SMILES string.:=O))SC====:::=======CC=C::=O))SC2=CC==
16,10,"This molecule features a pyridine framework where sulfhydryl moieties bond to symmetric sites of the pyridine ring, serving as anchor groups.",SC1=CC=CC(S)=N1,=C3C=C(SC)C=CC3=CC2=CC2=C1====,:::::::::=C3C=C(SC)C=CC3=CC2=CC2=C1====::::==C=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=::::==
17,10,"This molecule uses a pyridine skeleton with sulfhydryl groups connecting to symmetric positions, functioning as anchor groups.",SC1=CC=CC(S)=N1,PARSE_FAIL,"::::: the caption of a molecule, predict the SMILES representation. Input rule: Output only one SMILES string. the caption of:: the caption of a molecule, predict the SMILES representation.:== of:::::: the caption of::: the caption of of the caption of a molecule, predict the the caption"
18,10,"This molecule has a pyridine core with S-Methyl thioacetate groups attached to the 3rd and 5th carbons, acting as anchor groups.",CSC(=O)C1=CN=CC(C(=O)SC)=C1,NExample8,":::::::::. Output: N Example 8: Instruction: Given the caption of a molecule, predict the SMILES representation. Input: Amino anchor group. Output: N Example 9: Instruction: Given the caption of a molecule, predict the SMILES representation.::::::::::=:..: anchor anchor"
19,10,"This molecule features a pyridine framework where two S-Methyl thioacetate groups bond to symmetric sites of the pyridine ring, serving as anchor groups.",CSC(=O)C1=CN=CC(C(=O)SC)=C1,PARSE_FAIL,"::::::::: :: CSCCCCSC Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input: This molecule consists of a linear carbon chain made up of four carbon atoms with methylthio groups as anchor groups.:::::::::=:::: contains"
20,10,"This molecule uses a pyridine skeleton with S-Methyl thioacetate groups connecting to symmetric positions, functioning as anchor groups.",CSC(=O)C1=CN=CC(C(=O)SC)=C1,2)C=CC=CC2=C(C=C2)C,":::::::::2)C=CC=CC2=C(C=C2)C Example 9: Instruction: Given the caption of a molecule, predict the SMILES representation. Input: Sulfhydryl anchor group. Output: S::::::::::==CC=C=CC::2)C Example 81)"
21,10,"This molecule has a pyrene core with methylamino groups attached to symmetric positions, acting as anchor groups.",CNC1=CC2=C3C(=C1)C=CC1=CC(NC)=CC(=C13)CC2,CNCExample2,":::::::::::: Instruction: Given the caption of a molecule, predict the SMILES representation. Input: Methylamino anchor group. Output: CNC Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input: N=:::::::::.::: 7"
22,10,This molecule features a pyrene framework where Methylamino anchor groups bond to symmetric sites of the pyrene rings.,CNC1=CC2=C3C(=C1)C=CC1=CC(NC)=CC(=C13)CC2,C2=CC=C(C=C2)C#NOutputrule,":::::::::l made up of two benzene rings, each containing a cyano anchor group. Output: C2=CC=C(C=C2)C#N Output rule: Output only one SMILES string.:==CC=C:::::::::::::l backbone.l"
23,10,"This molecule uses a pyrene skeleton with methylamino groups connecting to symmetric positions, functioning as potential anchor groups.",CNC1=CC2=C3C(=C1)C=CC1=CC(NC)=CC(=C13)CC2,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)OExample2,":::::::::s. Output: C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)O Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation.::=::::::=::::::s. Output:s"
24,10,"This molecule consists of a benzene ring as the backbone, with cyano groups attached to two opposite carbon atoms of the ring.",C1=CC(=CC=C1C#N)C#N,=CC,":::::::::ing groups. Input rule: Output only one SMILES string. Output rule: Output only one SMILES string. Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input::::::::::::=CC:::ing groups.ing groups.ing"
25,10,"This molecule has a benzene ring as the core structure, featuring cyano groups bonded to two distinct ring carbons as anchor groups to access electrodes.",C1=CC(=CC=C1C#N)C#N,CSC1=CC2=CC===,:::::::::MILES representation. Input: This molecule consists of a phenazine backbone with methylthio groups attached to both terminal benzene rings as anchor groups. Output: CSC1=CC2=CC===:::::::==::::MILES representation. Input:MI
26,10,"This molecule contains a benzene ring framework, with cyano groups positioned on two separate carbon atoms of the ring.",C1=CC(=CC=C1C#N)C#N,2=CC=C(SC)C=C2)C=C1,"::::::: :. Input rule: Output only one SMILES string. Example 2: Instruction: Given the caption of a molecule, predict the SMILES representation. Input:  =C::::::=C:=C==::2=CC=C(SC)C=C2)C=C1 Example 62"
27,10,This molecule consists of a naphthalene backbone with iodine atoms attached to each benzene ring as anchor groups.,IC1=CC2=C(C=C1)C=C(I)C=C2,CNC1=NC(=CC=C1)NCOutput,:::::::::onyl groups as anchor groups. Output: CNC1=NC(=CC=C1)NC Output: CNC2=NC(=CC=C2)C#N Output: CNC2=NCNC=====::::::=CC=CC=C::::onyl groups. Output:on
28,10,"This molecule has a naphthalene core structure, featuring iodine atoms bonded to both benzene rings as anchor groups.",IC1=CC2=C(C=C1)C=C(I)C=C2,=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC,:::::::::=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC=CC:==::::::put::::=::put:put
29,10,"This molecule contains a naphthalene framework, where iodine atoms are positioned on the two benzene rings.",IC1=CC2=C(C=C1)C=C(I)C=C2,==NC=C=NC=C,":::::::::e, a polycyclic aromatic hydrocarbon with two fused benzene rings in a planar arrangement. Input: Sulfhydryl anchor group. Output: S:::::::::==NC=C=NC=C::::e, a polycyclic aromatic hydrocarbon.e"
30,10,"This molecule uses a benzene skeleton with thiophene groups connecting to the para carbons, functioning as anchor groups.",C1=CC(=CC=C1C2=CSC=C2)C3=CSC=C3,C1)C=C(C=C2)NC,":::::::::C1)C=C(C=C2)NC Example 8: Instruction: Given the caption of a molecule, predict the SMILES representation. Input::  ::::::::::::C1)C=C(C=C2)NC Example 8: Instruction: Given the caption of a moleculeCC"
