index,k_shot,caption,true_smiles,pred_smiles,raw_text
0,10,This molecule has two pyridine cores linked by a diacetylene chain.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,C1=CC(=CC=C1N=NC2=CC=C(C=C2)S)N=NC3=CC=C(C=C3)S,"S)N=NC3=CC=C(C=C3)S

Example 7:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a core structure composed of two benzene rings linked via an azo bond, and contains sulfhydryl groups on both benzene rings, which act as anchor groups.
Output:
C1=CC(=CC=C1N=NC2=CC=C(C=C2)S)N=NC3=CC=C(C=C3)S

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a core structure composed of two benzene rings linked via an azo bond, and contains sulfhydryl groups on both benzene rings, which act as anchor groups.
Output:
C1=CC(=CC=C1N=NC2=CC=C(C=C2)S)N=NC3=CC=C(C=C3)S

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a core structure composed of two benzene rings linked via an azo bond, and contains sulfhydryl groups on both benzene"
1,10,This molecule uses a diacetylene chain to link two pyridine rings.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,C#CC1=CC=C(C=C1)C#C2=CC=C(C=C2),":
CSC1=CC=C(C=C1)C2=CC=CS2

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule consists of a benzene ring as the backbone, with two ethynyl groups attached to opposite positions of the ring, and these groups act as anchor groups.
Output:
C#CC1=CC=C(C=C1)C#C2=CC=C(C=C2)

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule consists of a benzene ring as the backbone, with one methylthio group and one ethynyl group attached to opposite positions of the ring, and these groups act as anchor groups.
Output:
CSC1=CC=C(C=C1)C#C2=CC=C(C=C2)

Example 10:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule consists of a benzene ring as the backbone, with one iodine atom and one ethynyl group attached to opposite positions of the ring, and these groups act as anchor groups.
Output:
IC1=CC=C(C=C1)C#C"
2,10,This molecule connects two pyridine rings via a diacetylene chain.,C(C#CC1=CC=NC=C1)#CC1=CC=NC=C1,C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3,"#N

Example 7:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule is composed of two benzene rings linked by a naphthalene ring.
Output:
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=CC=C3

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule is composed of two benzene rings linked by an anthracene ring.
Output:
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule is composed of two benzene rings linked by a pyrene ring.
Output:
C1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C4=CC=C(C=C4)C5=CC=C(C=C5)

Example 10:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule is composed"
3,10,This molecule consists of a diphenylacetylene backbone with carboxyl groups attached to each benzene ring.,C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,CC(=O)SC,"of a molecule, predict the S-Methyl thioacetate SMILES representation.
Input:
Anchoring group, consisting of S-Methyl thioacetate.
Output:
CC(=O)SC

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule features a thiophene framework linked by carbon-carbon triple bond to pyridine rings, and these pyridine rings serve as anchor groups.
Output:
C1=CN=CC=C1C#CC2=CC=C(S2)C#CC3=CC=NC=C3

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule contains a biphenyl framework with two benzene rings joined, and has S-Methyl thioacetate moieties on each ring serving as anchor groups.
Output:
CC(=O)SC1=CC=C(C=C1)C2=CC=C(C=C2)SC(=O)C

Example 10:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has diphenylacetylene core structure and contains S-Methyl thioacetate groups serving as anchor"
4,10,This molecule features a diphenylacetylene backbone featuring carboxyl groups bonded to both benzene rings.,C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,NC1=CC=CC(N)=N1,"=CC=C2C=C3C=CC=CC3=CC2=C1

Example 7:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a pyridine ring framework, with two amino functional groups positioned at the 2nd and 6th position of the pyridine ring, and these amino groups serve as anchor groups.
Output:
NC1=CC=CC(N)=N1

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule contains a linear carbon chain made up of four carbon atoms with methylthio groups at both terminal ends acting as anchoring moieties.
Output:
CSCCCCSC

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a naphthalene core with amino groups attached to symmetric positions, acting as potential anchor groups.
Output:
NC1=CC=C2C=C(N)C=CC2=C1

Example 10:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule is anthracene, a polycyclic aromatic hydrocarbon consisting of three fused benzene"
5,10,"This molecule contains a diphenylacetylene framework, where carboxyl groups are positioned on the two benzene rings linked by an ethynyl group, and both groups function as anchor groups.",C1=CC(=CC=C1C#CC2=CC=C(C=C2)C(=O)O)C(=O)O,C1=CN=CC=C1C#CC2=CC=C(S2)C#CC3=CC=NC=C3,"molecule, predict the SMILES representation.
Input:
This molecule features a thiophene framework linked by carbon-carbon triple bond to pyridine rings, and these pyridine rings serve as anchor groups.
Output:
C1=CN=CC=C1C#CC2=CC=C(S2)C#CC3=CC=NC=C3

Example 7:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule is composed of two pyridine rings linked by three benzene rings in a chain, and the nitrogen atoms of the pyridine rings serve as potential anchoring groups.
Output:
C1=CC(=CC=C1C2=CC=C(C=C2)C3=CC=NC=C3)C4=CC=C(C=C4)C5=CC=NC=C5

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule uses a benzene skeleton with carboxyl groups connecting, and carboxyl groups function as anchor groups.
Output:
C1=CC(=CC=C1C(=O)O)C(=O)O

Example 9:
Instruction: Given the caption of a molecule"
6,10,"This molecule has an anthracene core with sulfhydryl groups  attached, acting as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O,"CC=CC2=C1N=CC(=C2)C(=O)O

Example 7:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule consists of a naphthalene skeleton with carboxyl groups attached to both benzene rings, and these groups act as anchor groups.
Output:
C1=CC2=C(C=CC(=C2)C(=O)O)C=C1C(=O)O

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule consists of a biphenyl backbone with carboxyl groups attached to both benzene rings, and these groups act as anchor groups.
Output:
C1=CC(=CC=C1C2=CC=C(C=C2)C(=O)O)C(=O)O

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule is anthracene.
Output:
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C34)C=C2

Example 10:
Instruction: Given the caption of a molecule, predict the SMILES"
7,10,"This molecule features an anthracene framework where sulfhydryl groups bond to symmetric sites, serving as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,BrC1=CC=C(C=C1)C2=CC=C(Br)C=C2,"rings of the backbone, with these moieties serving as anchor groups.
Output:
BrC1=CC=C(C=C1)C2=CC=C(Br)C=C2

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a naphthalene core structure, featuring chloro groups bonded to both benzene rings of the backbone, with these moieties serving as anchor groups.
Output:
ClC1=CC=C(C=C1)C2=CC=C(Cl)C=C2

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a naphthalene core structure, featuring hydroxyl groups bonded to both benzene rings of the backbone, with these moieties serving as anchor groups.
Output:
OC1=CC=C(C=C1)C2=CC=C(O)C=C2

Example 10:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a naphthalene core structure, featuring amino groups bonded to both benzene rings of the backbone, with these moieties serving as anchor groups.
Output:
NC1=CC=C(C"
8,10,"This molecule uses an anthracene skeleton with sulfhydryl groups connecting to symmetric positions, functioning as anchor groups.",SC1=CC=C2C=C3C=C(S)C=CC3=CC2=C1,C1=CC(=CC=C1N=NC2=CC=C(C=C2)S)S,"=CN=CC=C2

Example 7:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a core structure composed of two benzene rings linked via an azo bond, and contains sulfhydryl groups on both benzene rings, which act as anchor groups.
Output:
C1=CC(=CC=C1N=NC2=CC=C(C=C2)S)S

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule consists of a polycyclic aromatic hydrocarbon composed of four fused benzene rings in a planar.
Output:
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a phenazine core with methylthio groups as anchor groups.
Output:
CSC1=CC2=C(C=C1)N=C3C=C(C=CC3=N2)SC

Example 10:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule consists of a bip"
9,10,"This molecule contains a Biphenyl structure consisting of two benzene rings, each with an amino group attached as anchor group.",NC1=CC=C(C2=CC=C(N)C=C2)C=C1,CN(C)C1=CC2=C(C=CC(=C2)C=C1)C(=O)N,"ino groups as anchor groups.
Output:
CN(C)C1=CC2=C(C=CC(=C2)C=C1)C(=O)N

Example 8:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a backbone consisting of eight carbon atoms and features carboxyl anchoring groups attached at each end of the chain.
Output:
CC(C(=O)O)CC(C(=O)O)CC(C(=O)O)CC(C(=O)O)CC(C(=O)O)CC(C(=O)O)CC(C(=O)O)

Example 9:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule contains a Biphenyl structure consisting of two benzene rings, each with a nitro group attached as anchor group.
Output:
C1=CC(=CC=C1[N+](=O)[O-])C2=CC=C(C=C2)[N+](=O)[O-]

Example 10:
Instruction: Given the caption of a molecule, predict the SMILES representation.
Input:
This molecule has a naphthalene core with nitro groups attached to symmetric positions, acting"
